"Date","Name","Age","Occupation","Connection","Official_Cause","Circumstances","Investigation","Sources"
"2002-10-25","Paul Wellstone","58","US Senator from Minnesota","Political opposition - the only senator to vote against both the Iraq War authorization and the Patriot Act","Plane crash","Liberal senator who opposed the Iraq War died in a plane crash 11 days before his re-election vote; FBI investigated possible foul play based on documented death threats he had received before concluding the crash was accidental","Ruled accidental by NTSB - FBI had investigated possible foul play","https://www.npr.org/sections/thetwo-way/2010/10/25/130816043/fbi-s-files-on-wellstone-show-long-involvement-inquiry-into-2002-crash"
"1974-11-13","Karen Silkwood","28","Nuclear plant worker and union activist","Nuclear industry - was collecting evidence of safety violations at the Kerr-McGee plutonium plant to hand to a journalist","Car accident (disputed)","Was driving to meet a New York Times reporter with documented evidence of safety violations when her car went off the road; the documents she was carrying were never found in the wreckage; a later civil lawsuit found Kerr-McGee liable for her plutonium contamination; inspired the 1983 film Silkwood","Ruled accidental - documents disappeared from crash site","https://en.wikipedia.org/wiki/Karen_Silkwood"
"1978-06-06","Pope John Paul I","65","Catholic Pope - the Smiling Pope","Vatican - died after only 33 days as pope; had reportedly been reviewing Vatican Bank irregularities and considering personnel changes","No autopsy - officially cardiac arrest","New pope was found dead in bed 33 days after his election; no autopsy was conducted; body was embalmed within hours; the official story of who found the body changed multiple times; had reportedly been reviewing Vatican Bank operations before his death; multiple books have argued for murder","No autopsy conducted - officially cardiac arrest; widely disputed","https://en.wikipedia.org/wiki/Pope_John_Paul_I"
"1982-06-18","Roberto Calvi","62","Italian banker - Chairman of Banco Ambrosiano","BCCI/Vatican Bank - bank was connected to the Vatican Bank BCCI and the P2 Masonic lodge; involved in laundering money for the Mafia","Hanging under Blackfriars Bridge (initial suicide ruling overturned to unlawful killing)","Found hanging under Blackfriars Bridge in London with bricks in his pockets and $15000 in cash; initial suicide verdict was overturned at a 2002 inquest which found unlawful killing; Banco Ambrosiano had just collapsed with massive debts to the Vatican Bank","Suicide overturned to unlawful killing at 2002 inquest","https://en.wikipedia.org/wiki/Roberto_Calvi"
"1984-10-29","Barry Seal","46","Drug smuggler and DEA informant","CIA drug trafficking and Mena Arkansas - simultaneously ran cocaine for the Medellin cartel while being a DEA informant; reportedly connected to CIA Contra funding","Murder by shooting","Shot by Medellin cartel hitmen in Baton Rouge Louisiana; had been providing DEA with information on the Medellin cartel while allegedly running drug operations connected to CIA Contra funding through Mena Arkansas; Oliver North's address book contained his address","Confirmed murder - cartel hitmen convicted","https://en.wikipedia.org/wiki/Barry_Seal"
"1987-05-06","William Casey","74","CIA Director","Iran-Contra - knew the full extent of the weapons sales and funds diversion to the Nicaraguan Contras","Pneumonia following brain tumor surgery","CIA Director died one day after Congress began Iran-Contra public hearings; had suffered a sudden severe seizure the day before he was to be questioned by the Senate Intelligence Committee; underwent brain tumor surgery and never recovered sufficiently to testify","Ruled natural - died the day Iran-Contra congressional hearings began","https://time.com/archive/6709197/death-of-an-expert-witness-william-joseph-casey-1913-1987/"
"1991-04-05","John Tower","65","Former US Senator and Tower Commission chair","Iran-Contra - chaired the Tower Commission investigation into Iran-Contra; had extensive knowledge of covert programs","Plane crash - propeller malfunction","Former chairman of the Senate Armed Services Committee and head of the Tower Commission died when his commuter plane crashed near Brunswick Georgia; NTSB found a propeller malfunction; occurred the day after Senator John Heinz died in a separate unrelated plane crash","Ruled accidental - NTSB propeller malfunction","https://en.wikipedia.org/wiki/Atlantic_Southeast_Airlines_Flight_2311"
"1991-08-10","Danny Casolaro","44","Freelance journalist","Iran-Contra/BCCI/Inslaw - was investigating a vast linked conspiracy he called the Octopus","Ruled suicide - wrists slashed 12 times","Found with wrists slashed 12 times in a Martinsburg West Virginia hotel bathtub; had told his brother 'if anything happens to me don't believe it was an accident'; body was illegally embalmed before family was notified; hotel room was immediately cleaned; FBI task force members later questioned the suicide conclusion","Ruled suicide - FBI task force questioned the conclusion","https://en.wikipedia.org/wiki/Danny_Casolaro"
"1996-04-27","William Colby","76","Former CIA Director","CIA - cooperated with Church Committee investigations revealing many sensitive programs; made enemies within the intelligence community","Canoe accident (ruled accidental)","Former CIA director went canoeing from his Maryland cabin and disappeared; body found nine days later floating near shore; had become unpopular within intelligence circles by cooperating with congressional oversight and revealing CIA programs","Ruled accidental - circumstances disputed by some intelligence analysts","https://www.vanityfair.com/news/2011/09/former-cia-director-william-colby--the-man-nobody-knew"
"1996-04-03","Ron Brown","54","US Secretary of Commerce","Clinton administration - Cabinet member who was under independent counsel investigation and had allegedly indicated willingness to cooperate with prosecutors","Plane crash (disputed head wound)","Died when Air Force CT-43 crashed into a Croatian mountainside; Air Force attributed crash to pilot error; an Armed Forces Institute of Pathology physician initially noted a circular wound in Brown's skull resembling a gunshot entry wound; subsequent X-rays concluded blunt force trauma","Ruled accidental - head wound not fully resolved to satisfaction of all","https://en.wikipedia.org/wiki/Ron_Brown"
"1993-07-20","Vince Foster","48","Deputy White House Counsel","Clinton administration - was Deputy White House Counsel and former law partner of Hillary Clinton at Rose Law Firm","Gunshot (ruled suicide - five separate investigations)","Found dead in Fort Marcy Park Virginia with a gunshot wound to the mouth; five separate investigations including by Independent Counsel Kenneth Starr all ruled suicide; family has always accepted the suicide verdict; the single most scrutinized Clinton-era death","Ruled suicide - five separate investigations confirmed","https://en.wikipedia.org/wiki/Vince_Foster"
"2008-08-01","Barry Jennings","53","NYC Emergency housing coordinator","9/11 - was trapped inside WTC7 on September 11; publicly testified to hearing and feeling explosions inside the building before either tower fell","Sudden death - cause never publicly disclosed","Key eyewitness to events inside WTC7 on 9/11 died suddenly two days before NIST released its final report on WTC7's collapse; a filmmaker hired a private investigator who confirmed the death but could not obtain details about the cause","Cause never publicly disclosed - timing two days before NIST WTC7 report noted","https://www.banderasnews.com/0809/edat-barryjennings.htm"
"2009-10-06","Mike Connell","45","Republican IT consultant and Karl Rove operative","US elections 2004/2008 - managed email servers for Bush White House and RNC; was subpoenaed about alleged 2004 Ohio election fraud","Small plane crash near his Ohio home","Chief IT consultant for Karl Rove died when his Piper Saratoga crashed near his Akron Ohio home; had been subpoenaed to testify about alleged manipulation of 2004 Ohio election results; had reportedly told investigators he feared Karl Rove wanted him dead","Ruled accidental - subpoena and reported death threats are documented","https://en.wikipedia.org/wiki/Michael_Connell"
"2013-07-17","Gareth Williams","31","GCHQ and MI6 intelligence officer","British intelligence - was working on joint signals intelligence operations with the NSA; had downloaded classified files","Found padlocked inside a holdall bag in his own flat","British intelligence officer was found padlocked inside a red North Face holdall bag in the bath of his locked London flat; a pathologist testified that it was virtually impossible to do this to oneself; a coroner's inquest concluded he had locked himself in while alone","Inquest: likely self-inflicted - pathologist said virtually impossible to do alone","https://en.wikipedia.org/wiki/Gareth_Williams_(spy)"
"2001-09-11","John O'Neill","49","Former FBI Chief of Counterterrorism","9/11 and Al-Qaeda - had aggressively pursued Al-Qaeda leads but was repeatedly blocked from investigating; had publicly warned about an imminent major attack","Killed in 9/11 attacks on his first week at new job at WTC","FBI's top Al-Qaeda expert who had repeatedly warned of an imminent major attack died on his first week as head of security at the World Trade Center; had resigned from the FBI in frustration months before the attacks","Killed in terrorist attack - repeated forewarnings are documented","https://en.wikipedia.org/wiki/John_P._O%27Neill"
"2003-07-17","David Kelly","59","UK Government weapons inspector and biological warfare expert","Iraq War intelligence - was the source for a BBC report that the Blair government had falsely sexed up the Iraq WMD dossier","Ruled suicide - wrist slashing","Found dead near his home; had told a British diplomat months earlier he would probably be found dead in the woods if Iraq was invaded; no fingerprints found on knife or pill packets; six doctors formally contested the suicide ruling at the High Court; files initially ordered sealed for 70 years","Ruled suicide - formally contested by six doctors; files initially sealed 70 years","https://en.wikipedia.org/wiki/David_Kelly_(weapons_expert)"
"2010-04-10","Lech Kaczynski","60","President of Poland","Poland/Russia - was attending a ceremony commemorating the Soviet Katyn massacre of Polish officers when his plane crashed at Smolensk Russia","Plane crash at Smolensk Russia","Polish president and 95 other senior Polish officials and military chiefs died when their plane crashed at Smolensk; Russia attributed it to pilot error; Poland's subsequent reinvestigation found evidence consistent with an explosion on board; the crash killed a significant fraction of Poland's senior leadership","Russian investigation: pilot error; Polish reinvestigation: explosive evidence found","https://en.wikipedia.org/wiki/2010_Smolensk_air_disaster"
"2011-08-06","Extortion 17 - 38 killed","32","US Navy SEALs and Special Operations personnel","Bin Laden raid - helicopter carried multiple SEAL Team 6 members who had killed Bin Laden three months earlier in Operation Neptune Spear","Shot down by Taliban RPG - all 38 killed","38 US service members including 17 Navy SEALs were killed when their CH-47 Chinook was shot down in Afghanistan's Tangi Valley; several families publicly alleged that the command decisions that night were inexplicably poor; a congressional inquiry was sought","Ruled hostile Taliban attack - families raised questions about command decisions","https://en.wikipedia.org/wiki/Extortion_17_shootdown"
"2002-01-25","J. Clifford Baxter","43","Enron Vice Chairman","Enron scandal - had objected to Enron's fraudulent practices and had just agreed to testify before Congress against others","Gunshot (ruled suicide)","Found shot in his Mercedes near his Houston home; had just agreed to testify as a witness against others in the Enron case; local police were criticized for declaring suicide before completing the investigation; two independent forensic experts said murder could not be ruled out","Ruled suicide - two independent experts said murder could not be ruled out","https://www.cbsnews.com/news/the-mysterious-death-of-an-enron-exec/"
"2006-07-05","Kenneth Lay","64","Enron founder and Chairman","Enron scandal - convicted on 10 counts of fraud and conspiracy in what was then the largest corporate fraud case in US history","Heart attack three months before sentencing","Enron's founder died of a massive coronary at his Aspen Colorado vacation home three months before sentencing; under US law his conviction was legally vacated because he died before exhausting his appeals meaning his estate was not required to pay any restitution","Ruled natural - conviction vacated upon death; estate not penalized","https://www.npr.org/2006/07/05/5534705/enron-founder-kenneth-lay-dies-of-heart-attack"
"2009-12-13","David Kellermann","41","Acting CFO of Freddie Mac","2008 financial crisis - was acting CFO of Freddie Mac which had been seized by the US government during the crisis","Hanging in basement (ruled suicide)","Acting CFO of government-controlled Freddie Mac found hanging in the basement of his Virginia home; the company was under intense regulatory and congressional scrutiny following its 2008 bailout","Ruled suicide","https://en.wikipedia.org/wiki/David_Kellermann"
"2013-01-26","William Broeksmit","58","Deutsche Bank risk management executive","Banking fraud - Deutsche Bank was under Senate investigation for allegedly hiding $12 billion in losses during the financial crisis","Hanging (ruled suicide)","Found hanged in his South Kensington London home; Deutsche Bank was under Senate Subcommittee investigation for hiding massive losses; his death occurred the day before a former Deutsche Bank colleague was to speak publicly about those hidden losses","Ruled suicide","https://www.projectcensored.org/mysterious-series-deaths-banking-industry/"
"2013-01-28","Gabriel Magee","39","JPMorgan Vice President (London)","Banking fraud - JPMorgan was under Senate investigation for the London Whale scandal involving over $6 billion in hidden losses","Fall from 33-story building (ruled suicide)","Fell from the roof of JPMorgan's 33-story European headquarters in Canary Wharf; was one of three banker deaths in a single week; JPMorgan was under investigation for hiding massive derivatives trading losses","Ruled suicide","https://www.projectcensored.org/mysterious-series-deaths-banking-industry/"
"2013-01-31","Mike Dueker","50","Chief Economist at Russell Investments","Banking - former Federal Reserve economist","Fall from highway ramp embankment (ruled suicide)","Found dead after falling 50 feet down an embankment from a highway ramp near the Tacoma Narrows Bridge in Washington State; was a former Federal Reserve economist","Ruled suicide","https://www.projectcensored.org/mysterious-series-deaths-banking-industry/"
"2013-03-12","Kenneth Bellando","28","Former JPMorgan analyst","Banking fraud - his brother John Bellando was directly named in the Senate's London Whale investigation report","Fall from building (ruled suicide)","Former JPMorgan analyst found dead outside his 6-story Manhattan apartment building; his brother John Bellando was specifically named in the Senate's report about JPMorgan hiding over $6 billion in trading losses","Ruled suicide","https://wallstreetonparade.com/2014/04/suspicious-deaths-of-bankers-are-now-classified-as-trade-secrets-by-federal-regulator/"
"2014-04-29","Thierry Leyne","48","French-Israeli investment banker","Finance - had entered a business partnership with former IMF chief Dominique Strauss-Kahn after his sexual assault scandal","Fall from 23rd floor apartment (ruled suicide)","Banker who had entered business with Dominique Strauss-Kahn after the IMF chief's scandal jumped from the 23rd floor of a Tel Aviv apartment building","Ruled suicide","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2014-06-13","Richard Talley","57","Title insurance company founder","Finance - founder of American Title Services which was under active investigation by the Colorado Division of Insurance at the time of his death","Multiple nail gun wounds to head and chest (ruled suicide)","Found dead at his Colorado home with multiple nail gun wounds to his head and chest; his company was under active investigation; the means of self-infliction was widely considered nearly impossible","Ruled suicide - means of death extremely unusual","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2014-09-04","Calogero Gambino","41","Deutsche Bank senior legal counsel","Banking fraud - Deutsche Bank legal counsel during the period of LIBOR rate manipulation investigations","Hanging at home (ruled suicide)","Senior Deutsche Bank legal counsel found hanged at his New Jersey home during the period of Deutsche Bank's fraud investigations","Ruled suicide","https://www.scribd.com/document/285479721/48-Suspicious-Banker-Deaths"
"2001-11-12","Benito Que","52","Infectious disease specialist at Miami Medical School","Post-9/11 microbiologist cluster - part of 11 prominent microbiologists who died in a 5-month period after 9/11","Initially suspected mugging - then stroke","Police initially suspected carjacking in the school parking lot but the body showed no signs of a beating; doctors concluded stroke or cardiac event; one of 11 prominent microbiologists who died within 5 months after 9/11","Ruled natural - part of documented post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2001-11-16","Don C. Wiley","57","Harvard microbiologist - foremost expert on viral immune response to HIV ebola and influenza","Post-9/11 microbiologist cluster - expert on the exact pathogens most relevant to bioterrorism","Presumed dizzy spell and fall from bridge into Mississippi River","Found missing when rental car was abandoned on a Memphis bridge; body recovered from the Mississippi River a month later; was one of the world's foremost experts on immune response to bioterrorism pathogens","Ruled accidental - part of post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2001-11-21","Vladimir Pasechnik","64","Former Soviet biowarfare scientist and UK defector","Post-9/11 microbiologist cluster - high-level defector who revealed the full scope of the Soviet bioweapons program","Stroke","Former Soviet biowarfare scientist who defected to the UK in 1989 and played a central role in revealing Soviet bioweapons secrets died of a stroke; the autopsy was performed by a pathologist associated with British intelligence","Ruled natural - part of post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2001-12-10","Robert M. Schwartz","57","DNA sequencing and pathogen expert at Center for Innovative Technology","Post-9/11 microbiologist cluster - expert in DNA sequencing and pathogenic micro-organisms","Stabbing murder","Stabbed and slashed with what police believed was a sword at his Virginia farmhouse; his daughter and fellow cult members were arrested and convicted of the murder","Closed - daughter convicted of murder","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2001-12-14","Nguyen Van Set","44","CSIRO animal disease researcher (Australia)","Post-9/11 microbiologist cluster - worked at lab that had just discovered a virulent strain of mousepox that alarmed bioweapons experts","Laboratory nitrogen exposure accident","Entered an airlocked nitrogen-filled storage room at the Geelong CSIRO facility in Australia and died from nitrogen exposure; his laboratory had recently published alarming findings about mousepox genetic modification","Ruled accidental - workplace accident","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2002-02-09","Victor Korshunov","56","Russian microbiologist - expert in intestinal bacteria","Post-9/11 microbiologist cluster - Russian expert in intestinal bacteria of children","Beaten over the head (murder)","Was beaten over the head near his Moscow home and killed; part of the documented post-9/11 international cluster of microbiologist deaths","Unsolved murder","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2002-02-14","Ian Langford","40","British microbiologist - expert in environmental risks and disease","Post-9/11 microbiologist cluster - British expert in environmental risks and disease","Found dead under suspicious circumstances at home","Found dead in his home near Norwich England partially naked and wedged under a chair; the circumstances of his death were never satisfactorily explained","Circumstances unexplained - part of post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2002-03-24","David Wynn-Williams","55","British Antarctic Survey astrobiologist","Post-9/11 microbiologist cluster - studied microbes able to survive extreme conditions including outer space","Hit by car while jogging (accident)","Respected astrobiologist hit and killed by a car while jogging near his Cambridge home; occurred one day before the next death in the cluster","Ruled accidental - part of post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
"2002-03-25","Steven Mostow","63","Influenza expert known as Dr. Flu and bioterrorism consultant","Post-9/11 microbiologist cluster - noted expert in treating influenza and in bioterrorism preparedness","Plane crash near Denver","Known as Dr. Flu died when the small airplane he was piloting crashed near Denver; was the 11th microbiologist to die in the five-month post-9/11 cluster","Ruled accidental - 11th death in post-9/11 microbiologist cluster","https://www.theglobeandmail.com/news/world/scientists-deaths-are-under-the-microscope/article4134797/"
